studyName,"Sample Collection Date","Sample Number","Total Number",16-20mm,21-25mm,26-30mm,31-35mm,36-40mm,41-45mm,46-50mm,51-55mm,56-60mm,61-65mm
PAL9293,1993-01-19,92008,54,0,0,1,13,22,17,1,0,0,0
PAL9293,1993-01-19,92009,48,0,0,4,24,16,3,1,0,0,0
PAL9293,1993-01-19,92010,50,0,0,1,25,14,9,1,0,0,0
PAL9293,1993-01-23,92011,50,0,0,4,29,15,2,0,0,0,0
PAL9293,1993-01-23,92012,56,0,0,3,23,23,7,0,0,0,0
PAL9293,1993-01-23,92013,57,0,0,7,30,15,5,0,0,0,0
PAL9293,1993-01-23,92014,58,0,0,3,28,23,3,1,0,0,0
PAL9293,1993-01-23,92015,57,0,0,1,24,23,9,0,0,0,0
PAL9293,1993-01-30,92016,50,0,0,0,10,24,15,1,0,0,0
PAL9293,1993-01-30,92017,56,0,0,2,31,19,4,0,0,0,0
PAL9293,1993-01-30,92018,56,0,0,0,8,30,12,6,0,0,0
PAL9293,1993-01-30,92019,50,0,0,1,28,13,7,1,0,0,0
PAL9293,1993-01-30,92020,52,0,0,0,29,18,4,1,0,0,0
PAL9293,1993-02-04,92021,50,0,0,1,16,23,9,0,1,0,0
PAL9293,1993-02-04,92022,50,0,0,4,27,19,0,0,0,0,0
PAL9293,1993-02-04,92023,55,0,0,1,26,19,9,0,0,0,0
PAL9293,1993-02-04,92024,50,0,0,0,9,23,14,4,0,0,0
PAL9293,1993-02-04,92025,50,0,0,0,4,21,18,7,0,0,0
PAL9293,1993-02-09,92026,54,0,0,3,11,23,17,0,0,0,0
PAL9293,1993-02-09,92027,52,0,0,0,8,22,16,4,2,0,0
PAL9293,1993-02-09,92028,54,0,0,0,7,17,17,12,1,0,0
PAL9293,1993-02-09,92029,50,0,0,0,15,23,10,2,0,0,0
PAL9293,1993-02-09,92030,50,0,0,1,3,19,16,8,3,0,0
PAL9293,1993-02-14,92031,50,0,0,0,2,15,16,17,0,0,0
PAL9293,1993-02-14,92032,48,0,0,0,9,19,18,1,1,0,0
PAL9293,1993-02-14,92033,54,0,0,0,7,25,20,2,0,0,0
PAL9293,1993-02-14,92034,48,0,0,1,13,15,13,4,2,0,0
PAL9293,1993-02-14,92035,61,0,0,0,7,14,30,10,0,0,0
PAL9293,1993-02-19,92036,50,0,0,0,4,10,31,5,0,0,0
PAL9293,1993-02-19,92037,50,0,0,1,4,21,18,5,1,0,0
PAL9293,1993-02-19,92038,53,0,0,0,2,11,30,9,1,0,0
PAL9293,1993-02-19,92039,50,0,0,0,7,21,15,5,2,0,0
PAL9293,1993-02-19,92040,78,0,0,0,1,18,26,30,3,0,0
PAL9394,1994-01-11,93001,54,0,0,0,2,8,29,13,2,0,0
PAL9394,1994-01-11,93002,50,0,0,0,1,21,23,5,0,0,0
PAL9394,1994-01-11,93003,62,0,0,3,11,29,12,5,2,0,0
PAL9394,1994-01-11,93004,54,0,0,0,5,24,25,0,0,0,0
PAL9394,1994-01-11,93005,65,0,0,0,4,29,30,2,0,0,0
PAL9394,1994-01-16,93006,54,0,0,2,7,24,18,3,0,0,0
PAL9394,1994-01-16,93007,50,0,0,0,1,6,27,12,4,0,0
PAL9394,1994-01-16,93008,53,0,0,1,6,28,18,0,0,0,0
PAL9394,1994-01-16,93009,50,0,0,1,2,24,20,1,2,0,0
PAL9394,1994-01-16,93010,58,0,0,0,1,10,32,14,1,0,0
PAL9394,1994-01-21,93011,58,0,0,0,2,15,29,11,1,0,0
PAL9394,1994-01-21,93012,63,0,0,0,3,17,28,13,2,0,0
PAL9394,1994-01-21,93013,51,0,0,0,1,11,26,12,1,0,0
PAL9394,1994-01-21,93014,51,0,0,1,2,15,23,8,2,0,0
PAL9394,1994-01-21,93015,55,0,0,0,1,14,28,11,1,0,0
PAL9394,1994-01-26,93016,58,0,0,0,3,27,19,9,0,0,0
PAL9394,1994-01-26,93017,55,0,0,0,0,8,26,20,1,0,0
PAL9394,1994-01-26,93018,51,0,0,0,0,17,32,2,0,0,0
PAL9394,1994-01-26,93019,59,0,0,0,0,14,36,9,0,0,0
PAL9394,1994-01-26,93020,50,0,0,0,3,30,16,1,0,0,0
PAL9394,1994-02-01,93021,50,0,0,0,0,10,29,11,0,0,0
PAL9394,1994-02-01,93022,74,0,0,0,1,12,35,25,1,0,0
PAL9394,1994-02-01,93023,50,0,0,0,0,19,23,8,0,0,0
PAL9394,1994-02-01,93024,62,0,0,0,0,5,22,26,9,0,0
PAL9394,1994-02-01,93025,51,0,0,0,2,9,29,7,4,0,0
PAL9394,1994-02-07,93026,65,0,0,0,0,8,39,14,4,0,0
PAL9394,1994-02-07,93027,73,0,0,0,1,24,34,12,2,0,0
PAL9394,1994-02-07,93028,50,0,0,0,1,1,30,15,3,0,0
PAL9394,1994-02-07,93029,50,0,0,0,2,12,25,11,0,0,0
PAL9394,1994-02-07,93030,61,0,0,0,0,6,22,19,14,0,0
PAL9394,1994-02-13,93031,51,0,0,0,1,8,26,15,1,0,0
PAL9394,1994-02-13,93032,50,0,0,0,2,10,23,11,4,0,0
PAL9394,1994-02-13,93033,50,0,0,0,0,9,21,20,0,0,0
PAL9394,1994-02-13,93034,51,0,0,0,1,7,19,20,4,0,0
PAL9394,1994-02-13,93035,52,0,0,0,0,10,22,18,2,0,0
PAL9394,1994-02-18,93036,63,0,0,0,3,21,28,7,4,0,0
PAL9394,1994-02-18,93037,50,0,0,0,2,13,21,13,1,0,0
PAL9394,1994-02-18,93038,50,0,0,0,2,9,13,15,11,0,0
PAL9394,1994-02-18,93039,52,0,0,0,0,3,30,15,4,0,0
PAL9394,1994-02-18,93040,53,0,0,0,0,15,25,11,2,0,0
PAL9495,1995-01-11,94001,59,0,0,0,0,7,35,17,0,0,0
PAL9495,1995-01-11,94002,6,0,0,0,0,2,4,0,0,0,0
PAL9495,1995-01-11,94003,26,0,0,0,1,4,17,4,0,0,0
PAL9495,1995-01-11,94004,59,0,0,0,3,18,29,9,0,0,0
PAL9495,1995-01-11,94005,50,0,0,3,11,24,12,0,0,0,0
PAL9495,1995-01-17,94006,51,0,0,4,9,21,13,4,0,0,0
PAL9495,1995-01-17,94007,13,0,0,0,1,5,7,0,0,0,0
PAL9495,1995-01-17,94008,57,0,0,4,2,14,27,10,0,0,0
PAL9495,1995-01-17,94009,28,0,0,0,0,0,11,17,0,0,0
PAL9495,1995-01-17,94010,71,0,1,1,2,17,27,22,1,0,0
PAL9495,1995-01-22,94011,27,0,0,0,0,3,9,15,0,0,0
PAL9495,1995-01-22,94012,59,0,0,0,1,8,33,16,1,0,0
PAL9495,1995-01-22,94013,52,0,0,0,3,9,26,13,1,0,0
PAL9495,1995-01-22,94014,52,0,0,0,0,8,24,17,3,0,0
PAL9495,1995-01-22,94015,51,0,0,0,4,12,17,18,0,0,0
PAL9495,1995-01-27,94016,49,0,0,0,0,2,14,31,2,0,0
PAL9495,1995-01-27,94017,55,0,0,0,1,3,24,22,5,0,0
PAL9495,1995-01-27,94018,65,0,0,0,0,2,29,30,4,0,0
PAL9495,1995-01-27,94019,67,0,0,1,0,3,17,38,8,0,0
PAL9495,1995-01-27,94020,50,0,0,0,2,12,19,14,3,0,0
PAL9495,1995-02-02,94021,54,0,0,0,0,0,9,36,8,1,0
PAL9495,1995-02-02,94022,51,0,0,0,1,5,22,19,3,1,0
PAL9495,1995-02-02,94023,52,0,0,0,0,1,5,35,11,0,0
PAL9495,1995-02-02,94024,53,0,0,0,1,1,15,32,4,0,0
PAL9495,1995-02-02,94025,52,0,0,0,2,2,29,11,8,0,0
PAL9495,1995-02-06,94026,55,0,0,1,6,7,16,22,3,0,0
PAL9495,1995-02-06,94027,57,0,0,0,0,4,20,30,3,0,0
PAL9495,1995-02-06,94028,50,0,0,0,2,2,10,28,8,0,0
PAL9495,1995-02-06,94029,24,0,0,0,0,4,13,6,1,0,0
PAL9495,1995-02-06,94030,52,0,0,1,1,2,20,25,3,0,0
PAL9495,1995-02-13,94031,51,0,0,0,0,1,17,23,10,0,0
PAL9495,1995-02-13,94032,48,0,0,0,0,1,10,24,11,2,0
PAL9495,1995-02-13,94033,41,1,0,0,0,2,14,21,3,0,0
PAL9495,1995-02-13,94034,58,0,0,0,0,3,18,24,12,1,0
PAL9495,1995-02-13,94035,62,0,0,0,3,2,18,31,8,0,0
PAL9495,1995-02-18,94036,56,0,0,0,1,4,24,23,4,0,0
PAL9495,1995-02-18,94037,50,0,0,0,1,6,20,22,1,0,0
PAL9495,1995-02-18,94038,52,0,0,1,8,6,12,20,5,0,0
PAL9495,1995-02-18,94039,51,0,0,0,1,4,18,25,3,0,0
PAL9495,1995-02-18,94040,49,0,0,0,2,6,23,14,4,0,0
PAL9596,1996-01-11,95001,50,0,0,0,1,1,10,27,11,0,0
PAL9596,1996-01-11,95002,74,0,0,0,0,0,4,47,22,1,0
PAL9596,1996-01-11,95003,62,0,0,0,0,0,12,35,15,0,0
PAL9596,1996-01-11,95004,58,0,0,0,0,3,10,24,21,0,0
PAL9596,1996-01-11,95005,70,5,12,6,1,0,1,20,25,0,0
PAL9596,1996-01-16,95006,50,0,0,9,0,0,3,20,15,3,0
PAL9596,1996-01-16,95007,56,0,5,17,12,3,17,2,0,0,0
PAL9596,1996-01-16,95008,54,0,0,0,0,0,1,15,27,11,0
PAL9596,1996-01-16,95009,51,1,3,5,2,3,10,25,2,0,0
PAL9596,1996-01-16,95010,55,0,1,0,2,6,6,23,17,0,0
PAL9596,1996-01-22,95011,56,0,0,4,28,3,11,8,2,0,0
PAL9596,1996-01-22,95012,50,0,0,9,25,8,2,2,4,0,0
PAL9596,1996-01-22,95013,52,1,0,3,11,7,13,11,5,1,0
PAL9596,1996-01-22,95014,81,3,4,0,0,0,7,38,27,2,0
PAL9596,1996-01-22,95015,76,2,2,3,11,2,7,28,20,1,0
PAL9596,1996-01-27,95016,52,0,0,4,27,11,5,5,0,0,0
PAL9596,1996-01-27,95017,69,21,9,0,0,0,6,19,14,0,0
PAL9596,1996-01-27,95018,50,0,1,6,16,6,7,10,4,0,0
PAL9596,1996-01-27,95019,47,0,0,0,0,3,25,17,2,0,0
PAL9596,1996-01-27,95020,52,0,0,1,1,2,29,15,4,0,0
PAL9596,1996-02-01,95021,31,0,0,0,0,1,8,12,10,0,0
PAL9596,1996-02-01,95022,67,2,8,1,1,2,8,24,21,0,0
PAL9596,1996-02-01,95023,51,0,0,0,0,1,13,23,13,1,0
PAL9596,1996-02-01,95024,53,0,2,5,6,6,13,18,3,0,0
PAL9596,1996-02-01,95025,57,0,0,0,3,0,5,32,17,0,0
PAL9596,1996-02-06,95026,51,0,0,1,5,4,1,21,18,1,0
PAL9596,1996-02-06,95027,55,0,0,2,13,15,4,19,2,0,0
PAL9596,1996-02-06,95028,69,0,0,0,1,4,7,22,25,10,0
PAL9596,1996-02-06,95029,53,0,2,2,20,22,3,2,2,0,0
PAL9596,1996-02-06,95030,53,0,0,1,20,20,3,5,4,0,0
PAL9596,1996-02-11,95031,57,0,0,1,10,21,8,7,9,1,0
PAL9596,1996-02-11,95032,67,0,0,0,19,21,8,14,5,0,0
PAL9596,1996-02-11,95033,50,0,1,3,20,19,4,2,1,0,0
PAL9596,1996-02-11,95034,47,0,0,0,0,0,4,18,16,9,0
PAL9596,1996-02-11,95035,52,0,2,6,13,19,6,4,2,0,0
PAL9596,1996-02-17,95036,52,0,0,0,14,21,4,6,7,0,0
PAL9596,1996-02-17,95037,6,0,0,0,0,1,1,2,2,0,0
PAL9596,1996-02-17,95038,73,5,0,7,17,9,4,13,15,3,0
PAL9596,1996-02-17,95039,53,0,0,4,10,17,3,11,5,3,0
PAL9596,1996-02-17,95040,77,0,0,0,4,16,8,28,19,2,0
PAL9697,1997-01-06,96001,56,0,4,24,23,4,1,0,0,0,0
PAL9697,1997-01-06,96002,79,0,2,13,45,18,1,0,0,0,0
PAL9697,1997-01-06,96003,65,2,3,19,20,17,4,0,0,0,0
PAL9697,1997-01-06,96004,68,1,0,8,38,18,3,0,0,0,0
PAL9697,1997-01-06,96005,58,0,8,21,24,4,1,0,0,0,0
PAL9697,1997-01-11,96006,98,0,1,11,46,31,8,1,0,0,0
PAL9697,1997-01-11,96007,82,0,7,8,34,13,12,4,4,0,0
PAL9697,1997-01-11,96008,54,1,2,11,28,10,2,0,0,0,0
PAL9697,1997-01-11,96009,87,0,3,13,32,17,10,7,4,1,0
PAL9697,1997-01-11,96010,57,0,1,11,37,8,0,0,0,0,0
PAL9697,1997-01-16,96011,62,0,0,2,36,21,3,0,0,0,0
PAL9697,1997-01-16,96012,63,0,1,6,30,24,2,0,0,0,0
PAL9697,1997-01-16,96013,50,0,0,4,33,10,3,0,0,0,0
PAL9697,1997-01-16,96014,54,0,2,4,14,21,12,1,0,0,0
PAL9697,1997-01-16,96015,87,0,0,3,29,41,12,2,0,0,0
PAL9697,1997-01-21,96016,56,0,0,4,26,23,3,0,0,0,0
PAL9697,1997-01-21,96017,73,0,1,18,43,11,0,0,0,0,0
PAL9697,1997-01-21,96018,63,0,5,11,35,11,0,1,0,0,0
PAL9697,1997-01-21,96019,76,0,5,11,41,14,4,1,0,0,0
PAL9697,1997-01-21,96020,120,0,8,8,47,31,18,8,0,0,0
PAL9697,1997-01-26,96021,57,0,3,3,18,14,18,1,0,0,0
PAL9697,1997-01-26,96022,63,0,5,13,21,18,6,0,0,0,0
PAL9697,1997-01-26,96023,88,0,8,22,38,14,2,3,1,0,0
PAL9697,1997-01-26,96024,50,1,14,5,10,12,5,2,1,0,0
PAL9697,1997-01-26,96025,86,0,9,19,30,23,4,1,0,0,0
PAL9697,1997-01-31,96026,66,0,8,3,37,12,6,0,0,0,0
PAL9697,1997-01-31,96027,73,0,6,1,24,22,16,4,0,0,0
PAL9697,1997-01-31,96028,106,0,1,10,40,42,10,3,0,0,0
PAL9697,1997-01-31,96029,110,1,6,12,55,22,10,4,0,0,0
PAL9697,1997-01-31,96030,70,0,0,4,36,21,9,0,0,0,0
PAL9697,1997-02-05,96031,76,0,5,11,37,19,4,0,0,0,0
PAL9697,1997-02-05,96032,57,0,0,3,2,16,24,10,1,1,0
PAL9697,1997-02-05,96033,52,0,4,4,33,3,7,1,0,0,0
PAL9697,1997-02-05,96034,55,0,0,1,15,12,17,10,0,0,0
PAL9697,1997-02-05,96035,71,0,0,1,4,21,18,20,7,0,0
PAL9697,1997-02-10,96036,60,0,0,0,13,24,20,3,0,0,0
PAL9697,1997-02-10,96037,56,2,6,8,28,11,0,1,0,0,0
PAL9697,1997-02-10,96038,80,0,2,6,28,27,15,2,0,0,0
PAL9697,1997-02-10,96039,102,0,3,10,28,38,18,5,0,0,0
PAL9697,1997-02-10,96040,73,0,0,5,32,25,7,4,0,0,0
PAL9697,1997-02-15,96041,78,0,0,8,34,27,6,2,1,0,0
PAL9697,1997-02-15,96042,65,0,0,1,14,21,22,7,0,0,0
PAL9697,1997-02-15,96043,55,0,0,6,31,12,6,0,0,0,0
PAL9697,1997-02-15,96044,83,0,0,2,28,35,15,3,0,0,0
PAL9697,1997-02-15,96045,78,0,1,4,33,20,16,4,0,0,0
PAL9798,1998-01-06,97001,111,0,0,13,42,38,8,9,1,0,0
PAL9798,1998-01-06,97002,64,0,0,1,17,31,15,0,0,0,0
PAL9798,1998-01-06,97003,62,0,0,10,23,26,3,0,0,0,0
PAL9798,1998-01-06,97004,53,0,0,8,23,22,0,0,0,0,0
PAL9798,1998-01-06,97005,79,0,0,34,39,6,0,0,0,0,0
PAL9798,1998-01-11,97006,91,0,0,5,43,29,12,2,0,0,0
PAL9798,1998-01-11,97007,53,0,1,11,16,16,8,1,0,0,0
PAL9798,1998-01-11,97008,60,1,0,9,21,24,5,0,0,0,0
PAL9798,1998-01-11,97009,53,0,0,8,19,18,7,1,0,0,0
PAL9798,1998-01-11,97010,68,0,0,7,35,21,5,0,0,0,0
PAL9798,1998-01-16,97011,78,0,2,11,47,16,1,1,0,0,0
PAL9798,1998-01-16,97012,63,0,0,2,21,34,6,0,0,0,0
PAL9798,1998-01-16,97013,50,0,0,5,34,10,1,0,0,0,0
PAL9798,1998-01-16,97014,60,0,0,1,12,38,8,1,0,0,0
PAL9798,1998-01-16,97015,83,0,1,2,40,32,8,0,0,0,0
PAL9798,1998-01-21,97016,83,0,0,7,17,36,21,2,0,0,0
PAL9798,1998-01-21,97017,103,0,2,1,33,51,13,3,0,0,0
PAL9798,1998-01-21,97018,103,0,0,2,29,54,13,4,1,0,0
PAL9798,1998-01-21,97019,72,0,0,0,16,50,6,0,0,0,0
PAL9798,1998-01-21,97020,53,0,0,0,20,20,13,0,0,0,0
PAL9798,1998-01-26,97021,52,0,0,1,10,24,17,0,0,0,0
PAL9798,1998-01-26,97022,82,0,2,5,51,24,0,0,0,0,0
PAL9798,1998-01-26,97023,62,0,0,3,31,27,1,0,0,0,0
PAL9798,1998-01-26,97024,51,0,0,0,29,20,2,0,0,0,0
PAL9798,1998-01-26,97025,51,0,0,2,31,18,0,0,0,0,0
PAL9798,1998-01-31,97026,54,0,0,1,4,28,19,2,0,0,0
PAL9798,1998-01-31,97027,83,0,0,1,18,46,17,1,0,0,0
PAL9798,1998-01-31,97028,55,0,0,1,13,29,11,1,0,0,0
PAL9798,1998-01-31,97029,73,0,0,1,13,32,20,7,0,0,0
PAL9798,1998-01-31,97030,92,0,1,1,24,48,16,2,0,0,0
PAL9798,1998-02-05,97031,75,0,0,1,16,39,18,1,0,0,0
PAL9798,1998-02-05,97032,97,0,0,0,4,61,28,3,1,0,0
PAL9798,1998-02-05,97033,79,0,0,1,18,33,21,6,0,0,0
PAL9798,1998-02-05,97034,88,0,0,0,24,48,14,2,0,0,0
PAL9798,1998-02-05,97035,88,0,2,4,24,42,12,2,2,0,0
PAL9798,1998-02-10,97036,76,0,0,0,1,25,43,7,0,0,0
PAL9798,1998-02-10,97037,54,0,1,0,15,29,9,0,0,0,0
PAL9798,1998-02-10,97038,12,0,0,1,1,7,3,0,0,0,0
PAL9798,1998-02-10,97039,67,0,0,0,7,30,29,1,0,0,0
PAL9798,1998-02-10,97040,74,0,0,2,11,32,18,9,2,0,0
PAL9798,1998-02-15,97041,75,0,2,1,15,37,17,3,0,0,0
PAL9798,1998-02-15,97042,93,0,0,1,19,43,25,5,0,0,0
PAL9798,1998-02-15,97043,68,0,0,4,16,30,16,2,0,0,0
PAL9798,1998-02-15,97044,82,0,1,2,10,39,24,6,0,0,0
PAL9798,1998-02-15,97045,55,0,0,0,7,30,18,0,0,0,0
PAL9798,1998-02-20,97046,101,0,0,0,8,41,42,9,1,0,0
PAL9798,1998-02-20,97047,81,0,0,1,28,27,23,2,0,0,0
PAL9798,1998-02-20,97048,67,0,0,0,13,28,22,4,0,0,0
PAL9798,1998-02-20,97049,110,0,0,2,16,43,41,8,0,0,0
PAL9798,1998-02-20,97050,80,0,1,0,13,32,31,3,0,0,0
PAL9899,1999-01-06,98001,53,1,0,1,15,23,10,2,1,0,0
PAL9899,1999-01-06,98002,63,0,0,2,20,26,12,3,0,0,0
PAL9899,1999-01-06,98003,47,0,1,0,15,23,8,0,0,0,0
PAL9899,1999-01-06,98004,84,0,0,1,10,25,37,9,2,0,0
PAL9899,1999-01-06,98005,47,0,0,0,11,25,10,1,0,0,0
PAL9899,1999-01-11,98006,50,0,0,0,10,23,17,0,0,0,0
PAL9899,1999-01-11,98007,86,0,0,4,24,40,17,1,0,0,0
PAL9899,1999-01-11,98008,86,0,0,3,16,36,21,10,0,0,0
PAL9899,1999-01-11,98009,50,0,0,0,9,31,8,2,0,0,0
PAL9899,1999-01-11,98010,64,0,0,0,2,25,31,5,1,0,0
PAL9899,1999-01-16,98011,72,0,0,1,13,32,20,6,0,0,0
PAL9899,1999-01-16,98012,46,0,0,0,9,14,21,2,0,0,0
PAL9899,1999-01-16,98013,47,0,0,3,7,20,16,1,0,0,0
PAL9899,1999-01-16,98014,82,0,0,0,2,22,36,19,3,0,0
PAL9899,1999-01-16,98015,81,0,0,1,18,27,31,4,0,0,0
PAL9899,1999-01-21,98016,37,0,0,0,6,11,18,2,0,0,0
PAL9899,1999-01-21,98017,53,0,0,0,2,19,26,6,0,0,0
PAL9899,1999-01-21,98018,64,0,0,1,17,30,14,2,0,0,0
PAL9899,1999-01-21,98019,52,0,0,0,3,20,21,7,1,0,0
PAL9899,1999-01-21,98020,52,0,0,0,4,22,21,3,2,0,0
PAL9899,1999-01-26,98021,74,0,0,1,5,24,38,6,0,0,0
PAL9899,1999-01-26,98022,58,0,0,0,3,21,28,5,1,0,0
PAL9899,1999-01-26,98023,62,0,0,1,5,21,30,5,0,0,0
PAL9899,1999-01-26,98024,50,0,0,0,2,27,20,1,0,0,0
PAL9899,1999-01-26,98025,50,0,0,1,3,19,25,2,0,0,0
PAL9899,1999-02-01,98026,54,0,0,0,2,7,31,14,0,0,0
PAL9899,1999-02-01,98027,65,0,0,0,4,24,32,5,0,0,0
PAL9899,1999-02-01,98028,83,0,0,1,5,42,30,5,0,0,0
PAL9899,1999-02-01,98029,72,0,0,0,6,18,38,10,0,0,0
PAL9899,1999-02-01,98030,64,0,0,0,0,15,38,11,0,0,0
PAL9899,1999-02-05,98031,50,0,0,0,1,16,25,6,2,0,0
PAL9899,1999-02-05,98032,78,0,0,0,3,28,34,13,0,0,0
PAL9899,1999-02-05,98033,86,0,0,0,6,37,32,11,0,0,0
PAL9899,1999-02-05,98034,83,0,0,0,0,11,49,22,1,0,0
PAL9899,1999-02-05,98035,59,0,0,0,2,21,25,8,3,0,0
PAL9899,1999-02-11,98036,87,0,0,0,0,13,42,30,2,0,0
PAL9899,1999-02-11,98037,50,0,0,0,0,11,22,17,0,0,0
PAL9899,1999-02-11,98038,74,0,0,0,4,14,36,19,1,0,0
PAL9899,1999-02-11,98039,50,0,0,0,0,7,23,19,1,0,0
PAL9899,1999-02-11,98040,50,0,0,0,0,17,19,14,0,0,0
PAL9899,1999-02-16,98041,52,0,0,0,0,11,28,11,2,0,0
PAL9899,1999-02-16,98042,55,0,0,0,0,15,27,13,0,0,0
PAL9899,1999-02-16,98043,72,0,0,0,0,17,33,22,0,0,0
PAL9899,1999-02-16,98044,51,0,0,0,1,11,21,17,1,0,0
PAL9899,1999-02-16,98045,69,0,0,0,0,8,28,33,0,0,0
PAL9900,2000-01-09,99001,50,0,0,0,0,5,16,27,2,0,0
PAL9900,2000-01-09,99002,29,0,0,0,0,1,8,17,2,1,0
PAL9900,2000-01-09,99003,86,0,0,0,1,13,27,36,9,0,0
PAL9900,2000-01-09,99004,60,0,0,0,3,5,26,26,0,0,0
PAL9900,2000-01-09,99005,53,0,0,1,2,6,16,22,6,0,0
PAL9900,2000-01-13,99006,6,0,0,0,0,0,2,4,0,0,0
PAL9900,2000-01-13,99007,63,0,0,0,0,3,17,28,13,2,0
PAL9900,2000-01-13,99008,50,0,0,0,1,8,24,15,2,0,0
PAL9900,2000-01-13,99009,50,0,1,2,1,2,16,20,8,0,0
PAL9900,2000-01-13,99010,84,0,1,2,1,2,10,44,22,2,0
PAL9900,2000-01-18,99011,46,0,0,0,1,0,4,15,19,7,0
PAL9900,2000-01-18,99012,71,0,0,0,0,1,18,30,18,4,0
PAL9900,2000-01-18,99013,79,0,0,1,1,2,12,43,19,1,0
PAL9900,2000-01-18,99014,82,0,0,11,9,7,23,21,10,1,0
PAL9900,2000-01-18,99015,71,0,0,0,1,0,0,35,30,5,0
PAL9900,2000-01-25,99016,76,0,0,0,0,2,22,41,11,0,0
PAL9900,2000-01-25,99017,76,0,0,1,1,3,33,31,7,0,0
PAL9900,2000-01-25,99018,60,0,0,3,2,2,12,25,15,1,0
PAL9900,2000-01-25,99019,39,0,0,0,1,5,13,19,1,0,0
PAL9900,2000-01-25,99020,39,0,0,0,1,0,14,18,6,0,0
PAL9900,2000-01-29,99021,93,0,0,4,6,12,51,17,3,0,0
PAL9900,2000-01-29,99022,88,0,0,1,4,11,53,18,1,0,0
PAL9900,2000-01-29,99023,72,0,1,1,3,3,15,37,11,1,0
